Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10n","C0603",-139.500000,85.202000,-90.000000,bottom
"C1","10n","C0603",-54.500000,85.202000,-90.000000,bottom
"C1","10n","C0603",-224.500000,85.202000,-90.000000,bottom
"C2","100n","C0402",-10.500000,98.602000,180.000000,bottom
"C2","100n","C0402",-180.500000,98.602000,180.000000,bottom
"C2","100n","C0402",-95.500000,98.602000,180.000000,bottom
"C3","100n","C0402",-88.500000,98.602000,180.000000,bottom
"C3","100n","C0402",-3.500000,98.602000,180.000000,bottom
"C3","100n","C0402",-173.500000,98.602000,180.000000,bottom
"C4","100n","C0402",-183.000000,97.202000,90.000000,bottom
"C4","100n","C0402",-13.000000,97.202000,90.000000,bottom
"C4","100n","C0402",-98.000000,97.202000,90.000000,bottom
"C5","100n","C0402",-6.000000,97.202001,90.000000,bottom
"C5","100n","C0402",-91.000000,97.202001,90.000000,bottom
"C5","100n","C0402",-176.000000,97.202001,90.000000,bottom
"C6","1u","C0603",-212.200000,12.402000,180.000000,bottom
"C6","1u","C0603",-127.200000,12.402000,180.000000,bottom
"C6","1u","C0603",-42.200000,12.402000,180.000000,bottom
"C7","100n","C0603",-207.550000,78.852000,-90.000000,bottom
"C7","100n","C0603",-37.550000,78.852000,-90.000000,bottom
"C7","100n","C0603",-122.550000,78.852000,-90.000000,bottom
"C11","100n","C0603",-222.700000,65.252001,180.000000,bottom
"C11","100n","C0603",-52.700000,65.252001,180.000000,bottom
"C11","100n","C0603",-137.700000,65.252001,180.000000,bottom
"C12","4u7","C0603",-214.550000,64.077000,90.000000,bottom
"C12","4u7","C0603",-44.550000,64.077000,90.000000,bottom
"C12","4u7","C0603",-129.550000,64.077000,90.000000,bottom
"C13","100n","C0603",-132.550000,66.152000,180.000000,bottom
"C13","100n","C0603",-47.550000,66.152000,180.000000,bottom
"C13","100n","C0603",-217.550000,66.152000,180.000000,bottom
"C14","100n","C0603",-217.550000,64.252000,0.000000,bottom
"C14","100n","C0603",-132.550000,64.252000,0.000000,bottom
"C14","100n","C0603",-47.550000,64.252000,0.000000,bottom
"C15","10n","C0603",-46.300000,72.902000,0.000000,bottom
"C15","10n","C0603",-216.300000,72.902000,0.000000,bottom
"C15","10n","C0603",-131.300000,72.902000,0.000000,bottom
"C16","10u","C0603",-146.650000,56.727000,0.000000,bottom
"C16","10u","C0603",-231.650000,56.727000,0.000000,bottom
"C16","10u","C0603",-61.650000,56.727000,0.000000,bottom
"C17","1u","C0603",-228.050000,57.427000,90.000000,bottom
"C17","1u","C0603",-58.050000,57.427000,90.000000,bottom
"C17","1u","C0603",-143.050000,57.427000,90.000000,bottom
"C18","10n","C0603",-117.300000,73.502000,-45.000000,bottom
"C18","10n","C0603",-202.300000,73.502000,-45.000000,bottom
"C18","10n","C0603",-32.300000,73.502000,-45.000000,bottom
"C19","100n","C0603",-226.500000,77.302000,-90.000000,bottom
"C19","100n","C0603",-141.500000,77.302000,-90.000000,bottom
"C19","100n","C0603",-56.500000,77.302000,-90.000000,bottom
"C20","1u","C0603",-57.800000,77.302000,-90.000000,bottom
"C20","1u","C0603",-227.800000,77.302000,-90.000000,bottom
"C20","1u","C0603",-142.800000,77.302000,-90.000000,bottom
"C22","10n","C0603",-62.500000,72.202000,-45.000000,bottom
"C22","10n","C0603",-147.500000,72.202000,-45.000000,bottom
"C22","10n","C0603",-232.500000,72.202000,-45.000000,bottom
"C24","2u2","C0603",-218.700000,40.151999,90.000000,bottom
"C24","2u2","C0603",-48.700000,40.151999,90.000000,bottom
"C24","2u2","C0603",-133.700000,40.151999,90.000000,bottom
"C34","100n","C0402",-95.500000,89.602000,180.000000,bottom
"C34","100n","C0402",-10.500000,89.602000,180.000000,bottom
"C34","100n","C0402",-180.500000,89.602000,180.000000,bottom
"C35","100n","C0402",-88.500000,89.602000,180.000000,bottom
"C35","100n","C0402",-173.500000,89.602000,180.000000,bottom
"C35","100n","C0402",-3.500000,89.602000,180.000000,bottom
"C36","100n","C0402",-13.000000,88.202000,90.000000,bottom
"C36","100n","C0402",-98.000000,88.202000,90.000000,bottom
"C36","100n","C0402",-183.000000,88.202000,90.000000,bottom
"C37","100n","C0402",-91.000000,88.202001,90.000000,bottom
"C37","100n","C0402",-176.000000,88.202001,90.000000,bottom
"C37","100n","C0402",-6.000000,88.202001,90.000000,bottom
"C46","10u","C0603",-195.050000,33.632500,-90.000000,bottom
"C46","10u","C0603",-25.050000,33.632500,-90.000000,bottom
