Ref,Val,Package,PosX,PosY,Rot,Side
"C8","100n","C0603",-238.350000,56.752000,90.000000,top
"C8","100n","C0603",-68.350000,56.752000,90.000000,top
"C8","100n","C0603",-153.350000,56.752000,90.000000,top
"C9","100n","C0402",-202.900000,78.502000,45.000000,top
"C9","100n","C0402",-117.900000,78.502000,45.000000,top
"C9","100n","C0402",-32.900000,78.502000,45.000000,top
"C10","100n","C0402",-117.192893,77.794893,45.000000,top
"C10","100n","C0402",-202.192893,77.794893,45.000000,top
"C10","100n","C0402",-32.192893,77.794893,45.000000,top
"C21","1u","C0603",-52.000000,79.802000,90.000000,top
"C21","1u","C0603",-222.000000,79.802000,90.000000,top
"C21","1u","C0603",-137.000000,79.802000,90.000000,top
"C23","100n","C0603",-233.100000,89.102000,-90.000000,top
"C23","100n","C0603",-63.100000,89.102000,-90.000000,top
"C23","100n","C0603",-148.100000,89.102000,-90.000000,top
"C25","100n","C0603",-48.300000,44.102000,-90.000000,top
"C25","100n","C0603",-218.300000,44.102000,-90.000000,top
"C25","100n","C0603",-133.300000,44.102000,-90.000000,top
"C26","12n","C0402",-130.900000,37.702000,180.000000,top
"C26","12n","C0402",-215.900000,37.702000,180.000000,top
"C26","12n","C0402",-45.900000,37.702000,180.000000,top
"C27","10u","C0805",-52.900000,29.302000,90.000000,top
"C27","10u","C0805",-137.900000,29.302000,90.000000,top
"C27","10u","C0805",-222.900000,29.302000,90.000000,top
"C28","2u2","C_1812_4532Metric",-205.050000,29.352001,90.000000,top
"C28","2u2","C_1812_4532Metric",-120.050000,29.352001,90.000000,top
"C28","2u2","C_1812_4532Metric",-35.050000,29.352001,90.000000,top
"C29","10u","C0805",-124.550000,37.351999,0.000000,top
"C29","10u","C0805",-209.550000,37.351999,0.000000,top
"C29","10u","C0805",-39.550000,37.351999,0.000000,top
"C30","1u","C0603",-124.550000,41.102000,0.000000,top
"C30","1u","C0603",-209.550000,41.102000,0.000000,top
"C30","1u","C0603",-39.550000,41.102000,0.000000,top
"C31","100n","C0402",-51.550000,29.302000,90.000000,top
"C31","100n","C0402",-221.550000,29.302000,90.000000,top
"C31","100n","C0402",-136.550000,29.302000,90.000000,top
"C32","10u","C0805",-39.550000,39.352000,0.000000,top
"C32","10u","C0805",-124.550000,39.352000,0.000000,top
"C32","10u","C0805",-209.550000,39.352000,0.000000,top
"C33","10u","C0805",-139.650000,29.302000,90.000000,top
"C33","10u","C0805",-54.650000,29.302000,90.000000,top
"C33","10u","C0805",-224.650000,29.302000,90.000000,top
"C38","820p","C0402",-214.700000,38.702000,180.000000,top
"C38","820p","C0402",-129.700000,38.702000,180.000000,top
"C38","820p","C0402",-44.700000,38.702000,180.000000,top
"C39","1u","C0603",-16.600000,47.052000,0.000000,top
"C39","1u","C0603",-101.600000,47.052000,0.000000,top
"C39","1u","C0603",-186.600000,47.052000,0.000000,top
"C40","1u","C0603",-16.600000,40.452000,0.000000,top
"C40","1u","C0603",-101.600000,40.452000,0.000000,top
"C40","1u","C0603",-186.600000,40.452000,0.000000,top
"C41","100n","C0402",-186.300000,44.152000,0.000000,top
"C41","100n","C0402",-101.300000,44.152000,0.000000,top
"C41","100n","C0402",-16.300000,44.152000,0.000000,top
"C42","1u","C0603",-13.700000,41.152000,-90.000000,top
