"Reference","Value","Tolerance","MFR","MPN","Footprint","Datasheet","Qty","SUPPLIER_OC","SUPPLIER_URL"
"C1,C15,C18,C22","10n","±10% 25V","KEMET","C0402C103K3RACTU","rhais_rcl:C0603","https://connect.kemet.com:7667/gateway/IntelliData-ComponentDocumentation/1.0/download/datasheet/C0402C103K3RACTU","4","399-C0402C103K3RAC7867DKR-ND","https://www.digikey.com/short/n9t0571b"
"C2,C3,C4,C5,C9,C10,C31,C34,C35,C36,C37,C41,C44,C86,C96,C97","100n","±10% 50V","Murata Electronics","GRM155R71H104KE14D","rhais_rcl:C0402","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R71H104KE14-01.pdf","16","490-10700-6-ND","https://www.digikey.com/short/2889p8h4"
"C6,C17,C20,C21,C30,C39,C40,C42,C43,C45,C48,C80,C87,C88,C99","1u"," ±10% 50V","Taiyo Yuden","UMK107BJ105KA-T","rhais_rcl:C0603","https://www.yuden.co.jp/productdata/catalog/mlcc06_e.pdf","15","587-2400-6-ND","https://www.digikey.com/short/83w49wnp"
"C7,C8,C11,C13,C14,C19,C23,C25,C47,C92,C95,C98","100n","±20% 50V","KEMET","C0603C104M5RACTU","rhais_rcl:C0603","https://content.kemet.com/datasheets/KEM_C1006_X5R_SMD.pdf","12","399-C0603C104M5RAC7867DKR-ND","https://www.digikey.com/short/8nqzrr4b"
"C12","4u7","±10% 10V","KEMET","C0603C475K8PACTU","rhais_rcl:C0603","https://connect.kemet.com:7667/gateway/IntelliData-ComponentDocumentation/1.0/download/specsheet/C0603C475K8PACTU","1","399-C0603C475K8PAC7867DKR-ND","https://www.digikey.com/short/pbmnmwwq"
"C16,C46,C89,C93","10u","±20% 25V","Murata Electronics","GRM188R61E106KA73D","rhais_rcl:C0603","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM188R61E106KA73-01.pdf","4","490-18214-6-ND","https://www.digikey.com/short/82qptfvd"
"C24","2u2","±10% 25V","Murata Electronics","GRM188R61E225KA12J","rhais_rcl:C0603","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM188R61E225KA12-01.pdf","1","490-GRM188R61E225KA12JDKR-ND","https://www.digikey.com/short/wbpjqfr3"
"C26","12n","±10% 50V","Murata Electronics","GCM155R71H123KA55D","rhais_rcl:C0402","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM155R71H123KA55-01A.pdf","1","490-GCM155R71H123KA55DDKR-ND","https://www.digikey.com/short/qj5rrrnv"
"C27,C29,C32,C33","10u","±10% 50V","Murata Electronics","GRM21BR61H106ME43L","rhais_rcl:C0805","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BR61H106ME43-01A.pdf","4","490-18664-6-ND","https://www.digikey.com/short/zf2qwpn0"
"C28","2u2","±10% 100V","KEMET","C1812C225K1RAC7800","Capacitor_SMD:C_1812_4532Metric","https://connect.kemet.com:7667/gateway/IntelliData-ComponentDocumentation/1.0/download/datasheet/C1812C225K1RACTU","1","399-C1812C225K1RAC7800DKR-ND","https://www.digikey.com/short/0jmv72mj"
"C38","820p","±10% 50V","Murata Electronics","GCM155R71H821KA37D","rhais_rcl:C0402","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM155R71H821KA37-01A.pdf","1","490-GCM155R71H821KA37DDKR-ND","https://www.digikey.com/short/95h5bp4f"
"C49,C91","300p","±10% 50V","YAGEO","CC0603KRX7R9BB301","rhais_rcl:C0603","https://www.yageo.com/upload/media/product/app/datasheet/mlcc/upy-gphc_x7r_6_3v-to-250v.pdf","2","13-CC0603KRX7R9BB301DKR-ND","https://www.digikey.com/short/09vfhq3b"
"C50,C52,C53,C54,C57,C60,C65,C66,C72,C73,C74,C79,C81,C83,C100,C102,C106","100n","±10% 16V","Murata Electronics","GRM033Z71C104ME14D","Capacitor_SMD:C_0201_0603Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM033Z71C104ME14-01.pdf","17","490-GRM033Z71C104ME14DDKR-ND","https://www.digikey.com/short/drfvd79q"
"C51,C55,C58,C61,C67,C68,C69,C70,C82,C84,C108,C111","10n","±10% 25V","Yageo","AC0201KRX7R8BB103","Capacitor_SMD:C_0201_0603Metric","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-AC_NP0X7RX7S_6.3V-to-2KV_19.pdf","12","13-AC0201KRX7R8BB103DKR-ND","https://www.digikey.com/short/4b93tdmb"
"C56,C59,C62,C85,C109,C112","1n","±10% 25V ","Murata Electronics","GCM033R71E102KA03D","Capacitor_SMD:C_0201_0603Metric","https://www.murata.com/-/media/webrenewal/support/library/catalog/products/k35e.ashx?la=en-us&cvid=20200508021757000000","6","490-7995-6-ND","https://www.digikey.com/short/jj38r9nt"
"C63,C75,C76,C77,C78,C103,C104,C105","1u","±20% 16V","Murata Electronics","GRM033R61C105ME15D","Capacitor_SMD:C_0201_0603Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM033R61C105ME15-01A.pdf","8","490-18654-6-ND","https://www.digikey.com/short/8nqwhfth"
"C64,C71","4u7","±20% 10V","Murata Electronics","GRM155R61A475MEAAJ","rhais_rcl:C0402","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R61A475MEAA-01A.pdf","2","490-GRM155R61A475MEAAJDKR-ND","https://www.digikey.com/short/55djtqz8"
"C90","22p","±5% 50V","KEMET","C0603C220J5RAC7867","rhais_rcl:C0603","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","1","399-17583-6-ND","https://www.digikey.com/short/05tw8nzb"
"C94","47u","±20% 35V  125°C","KEMET","A768EB476M1VLAS042","lethalbit:C_Elec_KEMET_EB","https://connect.kemet.com:7667/gateway/IntelliData-ComponentDocumentation/1.0/download/datasheet/A768EB476M1VLAS042","1","399-A768EB476M1VLAS042DKR-ND","https://www.digikey.com/short/jcnvh285"
"C101","22u","±20% 10V","Murata Electronics","GRM188R61A226ME15D","rhais_rcl:C0603","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM188R61A226ME15-01.pdf","1","490-10476-6-ND","https://www.digikey.com/short/tvmht5nm"
"D1","SS10P6-M3/86A","","Vishay General Semiconductor - Diodes Division","SS10P6-M3/86A","lethalbit-so:TO-277A-2","https://www.vishay.com/docs/89043/ss10p6.pdf","1","SS10P6-M3/86AGICT-ND","https://www.digikey.com/short/4450q99v"
"D2,D6","BLUE","","Wurth Electronics","150060BS75000","LED_SMD:LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder","https://www.we-online.com/components/products/datasheet/150060BS75000.pdf","2","732-4966-6-ND","https://www.digikey.com/short/ddpjpwr7"
"D3,D5","PINK","","Optosupply","OSK40603C1E","LED_SMD:LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder","https://www.tme.eu/Document/64e15c1a036957b6f84022f15b00ad5b/OSXX0603C1E.pdf","2","OSK40603C1E","https://www.tme.com/ux/en-us/details/osk40603c1e/smd-colour-leds/optosupply/"
"D4","WHITE","","ROHM Semiconductor","SMLEN3WBC8W1","LED_SMD:LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder","https://fscdn.rohm.com/en/products/databook/datasheet/opto/led/chip_mono/smlen3wbc8w1-e.pdf","1","SMLEN3WBC8W1DKR-ND","https://www.digikey.com/short/c3th3r99"
"D7,D8,D9,D10,D11,D12,D16","GREEN","","Würth Elektronik","150060VS75000","LED_SMD:LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder","https://www.we-online.com/components/products/datasheet/150060VS75000.pdf","7","732-4980-6-ND","https://www.digikey.com/short/h8jf77w9"
