Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10n","C0603",-54.500000,78.200000,-90.000000,bottom
"C2","100n","C0402",-10.500000,91.600000,180.000000,bottom
"C3","100n","C0402",-3.500000,91.600000,180.000000,bottom
"C4","100n","C0402",-13.000000,90.200000,90.000000,bottom
"C5","100n","C0402",-6.000000,90.200001,90.000000,bottom
"C6","1u","C0603",-42.200000,5.400000,180.000000,bottom
"C7","100n","C0603",-37.550000,71.850000,-90.000000,bottom
"C11","100n","C0603",-52.700000,58.250001,180.000000,bottom
"C12","4u7","C0603",-44.550000,57.075000,90.000000,bottom
"C13","100n","C0603",-47.550000,59.150000,180.000000,bottom
"C14","100n","C0603",-47.550000,57.250000,0.000000,bottom
"C15","10n","C0603",-46.300000,65.900000,0.000000,bottom
"C16","10u","C0603",-61.650000,49.725000,0.000000,bottom
"C17","1u","C0603",-58.050000,50.425000,90.000000,bottom
"C18","10n","C0603",-32.300000,66.500000,-45.000000,bottom
"C19","100n","C0603",-56.500000,70.300000,-90.000000,bottom
"C20","1u","C0603",-57.800000,70.300000,-90.000000,bottom
"C22","10n","C0603",-62.500000,65.200000,-45.000000,bottom
"C24","2u2","C0603",-48.700000,33.149999,90.000000,bottom
"C34","100n","C0402",-10.500000,82.600000,180.000000,bottom
"C35","100n","C0402",-3.500000,82.600000,180.000000,bottom
"C36","100n","C0402",-13.000000,81.200000,90.000000,bottom
"C37","100n","C0402",-6.000000,81.200001,90.000000,bottom
"C46","10u","C0603",-25.050000,26.630500,-90.000000,bottom
"C49","300p","C0603",-61.650000,48.375000,0.000000,bottom
"C50","100n","C_0201_0603Metric",-39.100000,83.400000,180.000000,bottom
"C51","10n","C_0201_0603Metric",-39.100000,82.600000,180.000000,bottom
"C52","100n","C_0201_0603Metric",-37.900000,83.800000,90.000000,bottom
"C53","100n","C_0201_0603Metric",-35.900000,82.600000,0.000000,bottom
"C54","100n","C_0201_0603Metric",-40.700000,78.500000,180.000000,bottom
"C55","10n","C_0201_0603Metric",-40.700000,77.100000,180.000000,bottom
"C56","1n","C_0201_0603Metric",-40.700000,77.800000,180.000000,bottom
"C57","100n","C_0201_0603Metric",-33.500000,78.300000,180.000000,bottom
"C58","10n","C_0201_0603Metric",-33.500000,76.900000,180.000000,bottom
"C59","1n","C_0201_0603Metric",-33.500000,77.600000,180.000000,bottom
"C60","100n","C_0201_0603Metric",-40.700000,85.800000,180.000000,bottom
