Ref,Val,Package,PosX,PosY,Rot,Side
"C8","100n","C0603",-68.350000,49.750000,90.000000,top
"C9","100n","C0402",-32.900000,71.500000,45.000000,top
"C10","100n","C0402",-32.192893,70.792893,45.000000,top
"C21","1u","C0603",-52.000000,72.800000,90.000000,top
"C23","100n","C0603",-63.100000,82.100000,-90.000000,top
"C25","100n","C0603",-48.300000,37.100000,-90.000000,top
"C26","12n","C0402",-45.900000,30.700000,180.000000,top
"C27","10u","C0805",-52.900000,22.300000,90.000000,top
"C28","2u2","C_1812_4532Metric",-35.050000,22.350001,90.000000,top
"C29","10u","C0805",-39.550000,30.349999,0.000000,top
"C30","1u","C0603",-39.550000,34.100000,0.000000,top
"C31","100n","C0402",-51.550000,22.300000,90.000000,top
"C32","10u","C0805",-39.550000,32.350000,0.000000,top
"C33","10u","C0805",-54.650000,22.300000,90.000000,top
"C38","820p","C0402",-44.700000,31.700000,180.000000,top
"C39","1u","C0603",-16.600000,40.050000,0.000000,top
"C40","1u","C0603",-16.600000,33.450000,0.000000,top
"C41","100n","C0402",-16.300000,37.150000,0.000000,top
"C42","1u","C0603",-13.700000,34.150000,-90.000000,top
"C43","1u","C0603",-16.600000,27.050000,0.000000,top
"C44","100n","C0402",-16.300000,30.750000,0.000000,top
"C45","1u","C0603",-13.700000,27.750000,-90.000000,top
"C47","100n","C0603",-38.600000,71.200000,90.000000,top
"C48","1u","C0603",-44.400000,42.700000,-90.000000,top
"C86","100n","C0402",-16.300000,43.750000,0.000000,top
"C87","1u","C0603",-13.700001,40.750000,-90.000000,top
"C89","10u","C0603",-39.400000,42.700000,-90.000000,top
"C90","22p","C0603",-37.200000,40.200000,0.000000,top
"C94","47u","C_Elec_KEMET_EB",-67.300000,27.500000,90.000000,top
"C98","100n","C0603",-60.600000,103.000000,180.000000,top
"C99","1u","C0603",-60.600000,101.700000,180.000000,top
"C101","22u","C0603",-19.800000,27.800000,-135.000000,top
"D1","SS10P6-M3/86A","TO-277A-2",-34.550000,29.499999,180.000000,top
"D2","BLUE","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-68.700000,37.200000,180.000000,top
"D3","PINK","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-68.700000,38.699999,180.000000,top
"D4","WHITE","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-68.700000,40.200001,180.000000,top
"D5","PINK","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-68.700000,41.700000,180.000000,top
"D6","BLUE","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-68.700000,43.200000,180.000000,top
"D7","GREEN","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-26.100000,6.300001,90.000000,top
"D8","GREEN","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-34.600003,6.299997,90.000000,top
"D9","GREEN","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-32.900002,6.300000,90.000000,top
"D10","GREEN","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-29.500002,6.300000,90.000000,top
"D11","GREEN","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-31.200000,6.300000,90.000000,top
"D12","GREEN","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-27.800000,6.300000,90.000000,top
"D15","RED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-68.700000,67.800001,180.000000,top
"D16","GREEN","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-68.700000,69.300000,180.000000,top
"D17","V_{BR} = 3v6","D_SOD-882",-68.850000,94.700000,180.000000,top
"F1","7A","Fuse_1206_3216Metric",-60.600000,19.150000,90.000000,top
"F2","7A","Fuse_1206_3216Metric",-65.100000,49.750000,-90.000000,top
"FB2","600 @ 100MHz","R0805",-41.900001,43.549999,180.000000,top
"FID4","Fiducial","Fiducial_0.75mm_Mask1.5mm",-72.800000,90.800000,90.000000,top
"FID5","Fiducial","Fiducial_0.75mm_Mask1.5mm",-4.000000,9.200000,0.000000,top
"FID6","Fiducial","Fiducial_0.75mm_Mask1.5mm",-73.000000,9.000000,-90.000000,top
"J1","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",-68.500000,98.225000,180.000000,top
"J2","TRIGGER","Molex_SMA_732512120",-75.025000,98.200000,90.000000,top
"J3","USB_C_Receptacle","USB-3.1-Type-C_In-PCB",-69.500000,58.250001,-90.000000,top
"J4","SU SWD","FTSH-105-01-L-DV-K-TR",-71.000000,75.000000,-90.000000,top
"J5","Jack-DC","BarrelJack_GCT_DCJ200-10-A_Horizontal",-63.900000,16.000000,-90.000000,top
"J7","SCSI PHY Mezz","101445x-10x80xLF",-37.500000,111.000000,0.000000,top
"J8","FLASH","FTSH-105-01-L-DV-K-TR",-71.000000,84.000000,-90.000000,top
"L1","1u5","Bourns-SRF1260",-44.050000,22.350001,-90.000000,top
"L2","2u2","L0603",-36.900000,43.600000,180.000000,top
"L3","1u","L_Vishay_IHLP-3232",-24.800000,35.000000,90.000000,top
"Q1","NTMFS5C442NT1G","ONSemi_SO-8FL_488AA",-42.050000,12.350000,180.000000,top
"Q7","PMDPB58UPE,115","SOT1118-3",-60.600000,93.900000,180.000000,top
"Q10","PFET","PowerPAK_SO-8L_Dual",-58.165000,27.535000,180.000000,top
"R2","80k6","R0402",-50.200000,32.999999,90.000000,top
"R4","10k","R0603",-49.600000,37.100000,-90.000000,top
"R5","4k7","R0603",-49.400000,71.150000,-90.000000,top
"R7","2k2","R0603",-72.000000,67.800001,0.000000,top
"R8","1M","R0603",-67.000000,49.750000,90.000000,top
"R9","10k","R0603",-49.900000,59.225000,-90.000000,top
"R11","100","R0402",-30.600000,67.500000,135.000000,top
"R12","10k","R0603",-50.700000,72.800000,-90.000000,top
"R13","100","R0402",-52.400000,77.600000,90.000000,top
"R15","5k36","R0603",-43.200000,30.550000,180.000000,top
"R16","10m","R0603",-47.550000,14.600000,0.000000,top
"R18","40k","R0603",-45.950000,35.900000,0.000000,top
"R19","100k","R0603",-66.600000,75.400000,90.000000,top
"R20","100k","R0603",-66.600000,78.500000,-90.000000,top
"R21","1k","R0603",-72.000000,69.300000,0.000000,top
"R22","4k7","R0603",-56.000000,52.550000,-90.000000,top
"R23","1k","R0603",-72.000000,37.200000,0.000000,top
"R24","2k2","R0603",-72.000000,38.699999,0.000000,top
"R25","2k2","R0603",-72.000000,40.200001,0.000000,top
"R26","2k2","R0603",-72.000000,41.700000,0.000000,top
"R27","1k","R0603",-72.000000,43.200000,0.000000,top
"R29","0","R0402",-57.500000,65.900000,0.000000,top
"R30","0","R0402",-47.250001,61.200000,-90.000000,top
"R31","2k2","R0603",-26.100002,9.500000,-90.000000,top
"R33","300k","R0603",-37.200000,41.500001,0.000000,top
"R34","2k2","R0603",-32.900000,9.500000,-90.000000,top
"R38","4k7","R0603",-43.100000,68.300000,-90.000000,top
"R39","4k7","R0603",-44.400000,68.300000,-90.000000,top
"R42","1k","R0603",-34.600003,9.500000,-90.000000,top
"R44","4k7","R0603",-56.000000,49.450000,90.000000,top
"R45","4k7","R0603",-57.300000,48.900000,90.000000,top
"R54","10k","R0603",-67.000000,46.200000,-90.000000,top
"R55","249k","R0603",-22.150000,26.580499,90.000000,top
"R57","178k","R0603",-22.799998,28.930500,180.000000,top
"R59","10k","R0603",-60.900000,104.300000,180.000000,top
"R60","10k","R0603",-59.500000,88.500000,90.000000,top
"R71","4k7","R0603",-63.200000,77.900000,-90.000000,top
"R74","4k7","R0603",-47.900000,73.400000,0.000000,top
"R78","2k2","R0603",-31.200000,9.500000,-90.000000,top
"R79","2k2","R0603",-29.500000,9.500000,-90.000000,top
"R80","2k2","R0603",-27.800000,9.500000,-90.000000,top
"SW1","RST","SW_Tactile_SPST_Angled_TC-1109DE",-43.600000,3.400000,180.000000,top
"SW2","DFU","B3U-1000P-B",-70.700000,46.200000,0.000000,top
"U1","LFE5UM5G-45F-8BG381C","318caBGA",-37.500000,82.200000,0.000000,top
"U2","HyperRAM","TFBGA-24-6x8mm-1.0mm",-11.000000,90.700000,0.000000,top
"U3","HyperRAM","TFBGA-24-6x8mm-1.0mm",-4.000001,90.700000,0.000000,top
"U4","APX811-40UG-7","SOT-143",-39.000000,3.000000,180.000000,top
"U5","HD3SS460RHRR","WQFN-28-1EP_3.5x5.5_P0.5mm_EP2x4mm",-53.690361,58.250001,0.000000,top
"U6","TPD4E02B04DQA","USON-10_2.5x1.0mm_P0.5mm",-61.200000,59.500000,0.000000,top
"U8","TPD4E02B04DQA","USON-10_2.5x1.0mm_P0.5mm",-58.140361,57.000000,0.000000,top
"U9","USB3318","QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm",-46.500000,57.187501,0.000000,top
"U10","FUSB302BMPX","WQFN-14-1EP_2.5x2.5mm_P0.5mm_EP1.45x1.45mm",-60.000001,50.500000,90.000000,top
"U11","ATSAMD09D14A-M","QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm",-55.500000,69.200000,0.000000,top
"U12","GD25Q64EWIGR","UDFN-8-1EP_6x5mm_P1.27mm_EP3.4x4mm",-59.600000,80.000000,90.000000,top
"U13","LM51551DSSR","WSON-12-1EP_2x3mm_P0.5mm_EP1x2.65mm",-47.900000,33.150000,90.000000,top
"U14","HyperRAM","TFBGA-24-6x8mm-1.0mm",-11.000000,81.700000,0.000000,top
"U15","HyperRAM","TFBGA-24-6x8mm-1.0mm",-4.000001,81.700000,0.000000,top
"U16","TPS7A1112PDRVT","WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm",-15.700000,35.400000,180.000000,top
"U17","TPS7A1125PDRVT","WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm",-15.700000,29.000000,180.000000,top
"U20","TPS7A1112PDRVT","WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm",-15.700000,42.000000,180.000000,top
"U21","AP3428/A","DFN-6-1EP_2x2mm_P0.65mm_EP1.01x1.7mm",-33.427500,42.900000,180.000000,top
"U23","TLV62084ADSGR","WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm",-24.300000,26.630500,90.000000,top
"U24","74AHC1G02","SOT-353_SC-70-5",-40.850000,69.650000,0.000000,top
"X1","100MHz","AK3A-xxxMHz",-54.500000,78.200000,-90.000000,top
"X3","200MHz","AK2A-xxxMHz",-32.300000,66.500000,-45.000000,top
"X4","32MHz","SMD3225",-62.500000,65.200000,0.000000,top
